No.,Time,Source,Destination,Protocol,Length,Info,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Jitter
1,0,192.168.1.40,172.253.118.93,UDP,902,50327  >  443 Len=860,,0,0.034654,0.034654,,0.026384,0.00827,-0.018114
2,0.034654,172.253.118.93,192.168.1.40,UDP,71,443  >  50327 Len=29,,0.034654,0.042924,0.00827,,0.008052,0.000218,-0.007834
3,0.042924,172.253.118.93,192.168.1.40,UDP,116,443  >  50327 Len=74,,0.042924,0.043142,0.000218,,-0.000903,0.001121,0.002024
4,0.043142,192.168.1.40,172.253.118.93,UDP,78,50327  >  443 Len=36,,0.043142,0.044263,0.001121,,-0.011628,0.012749,0.024377
5,0.044263,172.253.118.93,192.168.1.40,UDP,68,443  >  50327 Len=26,,0.044263,0.057012,0.012749,,-0.0057,0.018449,0.024149
6,0.057012,192.168.1.40,172.253.118.93,UDP,75,50327  >  443 Len=33,,0.057012,0.075461,0.018449,,-0.871608,0.890057,1.761665
7,0.075461,172.253.118.93,192.168.1.40,UDP,68,443  >  50327 Len=26,,0.075461,0.965518,0.890057,,-0.239807,1.129864,1.369671
8,0.965518,Espressi_83:94:98,Broadcast,ARP,42,ARP Announcement for 192.168.1.33,,0.965518,2.095382,1.129864,,-1.67181,2.801674,4.473484
9,2.095382,192.168.1.33,255.255.255.255,UDP,230,49154  >  6667 Len=188,,2.095382,4.897056,2.801674,,2.801491,0.000183,-2.801308
10,4.897056,192.168.1.40,142.250.4.94,TCP,55,55695  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU],,4.897056,4.897239,0.000183,,-0.013314,0.013497,0.026811
11,4.897239,192.168.1.40,103.111.138.76,TCP,55,55699  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU],,4.897239,4.910736,0.013497,,-0.254675,0.268172,0.522847
12,4.910736,103.111.138.76,192.168.1.40,TCP,66,443  >  55699 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2,,4.910736,5.178908,0.268172,,0.2681,7.20E-05,-0.268028
13,5.178908,192.168.1.40,142.251.10.94,TLSv1.2,924,Application Data,,5.178908,5.17898,7.20E-05,,0.000042,3.00E-05,-0.000012
14,5.17898,192.168.1.40,142.251.10.94,TLSv1.2,93,Application Data,,5.17898,5.17901,3.00E-05,,0.00003,0,-0.00003
15,5.17901,192.168.1.40,142.251.10.94,TCP,1484,55678  >  443 [ACK] Seq=910 Ack=1 Win=253 Len=1430 [TCP segment of a reassembled PDU],,5.17901,5.17901,0,,0,0,0
16,5.17901,192.168.1.40,142.251.10.94,TCP,1484,55678  >  443 [ACK] Seq=2340 Ack=1 Win=253 Len=1430 [TCP segment of a reassembled PDU],,5.17901,5.17901,0,,0,0,0
17,5.17901,192.168.1.40,142.251.10.94,TCP,1484,55678  >  443 [ACK] Seq=3770 Ack=1 Win=253 Len=1430 [TCP segment of a reassembled PDU],,5.17901,5.17901,0,,0,0,0
18,5.17901,192.168.1.40,142.251.10.94,TCP,1484,55678  >  443 [ACK] Seq=5200 Ack=1 Win=253 Len=1430 [TCP segment of a reassembled PDU],,5.17901,5.17901,0,,0,0,0
19,5.17901,192.168.1.40,142.251.10.94,TCP,1484,55678  >  443 [ACK] Seq=6630 Ack=1 Win=253 Len=1430 [TCP segment of a reassembled PDU],,5.17901,5.17901,0,,0,0,0
20,5.17901,192.168.1.40,142.251.10.94,TCP,1484,55678  >  443 [ACK] Seq=8060 Ack=1 Win=253 Len=1430 [TCP segment of a reassembled PDU],,5.17901,5.17901,0,,-0.033842,0.033842,0.067684
21,5.17901,192.168.1.40,142.251.10.94,TLSv1.2,749,Application Data,,5.17901,5.212852,0.033842,,0.033842,0,-0.033842
